Posto de combustível;Bandeira;Endereço;Bairro;G.C.;G.A.;E;D;S-10;GNV
Anel do brejo;Branca;Rua Dr. Vasconcelos, 127.;Alto Branco;5,599;5,599;4,899;4,469;4,569;NT
Almirante;Ipiranga;Av. Almirante Barroso, 634.;Liberdade;5,739;5,899;4,959;NT;4,499;NT
Amigão;Branca;Av. Assis Chateaubriand, 2980.;Distrito industrial;5,599;5,599;4,799;4,479;4,579;NT
Avenida;Ipiranga;Av. Assis Chateaubriand, 1600.;Liberdade;5,799;5,899;4,899;4,499;4,599;NT
Bandeirantes;Branca;Rua Epitácio Pessoa, 385.;Centro;5,640;5,750;4,990;NT;4,590;NT
Bodocongó;Ipiranga;Av. Aprigio Veloso, 625.;Bodocongó;5,799;5,999;4,999;NT;4,599;NT
Catolé;Shell;Rua Vigário Calixto, 3003.;Sandra Cavalcante;5,799;5,949;4,999;NT;4,699;NT
Centenário;Ipiranga;Rua Francisco Lopes, 432.;Centenário;5,799;5,899;4,999;NT;4,599;NT
Cruzeiro do sul;Shell;Av. Juscelino Kubitschek, 1500.;Presidente Médici;5,899;6,199;5,090;NT;4,750;NT
Dallas;BR;Av.Almirante Barroso, 634.;Liberdade;5,739;5,899;4,999;4,479;4,579;4,490
Dallas;BR;Rua Tomás Soares de Souza, 170.;Catolé ;5,739;5,839;4,999;NT;4,589;NT
Dallas;BR;Av. Assis Chateaubriand, 4708.;Ligeiro;5,589;5,569;NT;4,499;4,599;NT
Distrito;Branca;Av. João Wallig, 2304.;Distrito industrial;5,590;NT;5,090;4,460;4,560;NT
Domingos;Setta;Av. Dep. Raimundo Asfora, 1699.;Três irmãs;5,769;5,899;5,199;4,489;4,589;NT
Fechine;Branca;Rua Roza Gonzaga de Luna, 80.;Bodocongó;5,750;NT;4,990;4,490;NT;NT
FRS;Branca;Av. Pres. Getúlio Vargas, 1367.;Prata;5,849;5,899;5,040;NT;4,649;NT
Galante;Ale;RUA JOACIL MENEZES DE MELO , SN,;Galante;5,799;NT;5,199;4,549;4,649;NT
GS;Branca;Rua Isabel Barbosa de Araújo, S/N.;Sandra Cavalcante;5,759;5,799;5,209;4,459;4,559;NT
Jardins;Ipiranga;Rua Aprigio Pereira Nepomuceno, 1031.;Jardim Paulistano;5,799;5,899;4,899;NT;4,599;NT
JE;Ipiranga;Rua Francisco Antônio Do Nascimento, 584.;Nova Brasília;5,799;5,899;4,999;NT;4,599;NT
Jocel Fechine ;Shell;Rua Francisco Lopes de Almeida, 55.;Santa Cruz ;5,790;5,920;5,090;4,510;4,590;NT
Laís XII;Ale;Av. Dinamérica Alves Correia, 325.;Santa Rosa;5,799;5,899;5,199;4,499;4,599;NT
Maia;Ale;Rua Da Independência, 525.;São José;5,799;NT;5,099;NT;4,899;NT
Marília;Ipiranga;Av. Professor Almeida Barreto, 201.;Liberdade;5,790;5,890;4,980;NT;4,590;NT
Máster gás;Branca;Av. Assis Chateaubriand, 2675.;Liberdade;5,590;NT;4,900;NT;NT;4,649
Monumento;Ipiranga;Av. Pref. Severino Bezerra Cabral, 38.;Catolé;5,799;5,899;4,999;4,499;4,599;NT
MS;Branca;Rua Avani Casemiro de Albuquerque, 20.;Alto Branco;5,799;5,799;4,899;4,469;4,569;NT
Norberto;Branca;Rua Lourival de Andrade, 1001.;Bodocongó;5,799;5,996;4,999;4,499;4,599;NT
Padre Cicero;Ipiranga;Av. Assis Chateaubriand, 44.;Liberdade;5,799;5,899;4,899;4,499;4,599;NT
Padre Cícero I;Ipiranga;Rua Manoel Mota, 635.;Bodocongó;5,799;NT;4,999;4,499;4,599;NT
Paulistano;Ipiranga;Av. Assis Chateaubriand, 2292.;Liberdade;5,790;5,890;4,980;4,499;4,599;NT
Portal;Branca;Rua Alice Menezes dos Santos. 45.;Três irmãs;5,799;NT;5,199;4,599;4,729;NT
Ponto cem Reis;BR;Rua João Alves de Oliveira, 327.;Centro;5,799;5,899;4,999;NT;4,599;NT
Rodo Paraíba;Branca;Av. Juscelino Kubitschek 3000.;Velame;5,759;5,859;5,099;NT;4,759;NT
Rodoviário;Ipiranga;Rua Dom Pedro II, 148.;Centro;5,590;6,090;5,090;NT;4,790;NT
Roma;Ale;Rua Quebra Quilos, 47.;Centro;5,560;5,699;4,899;NT;4,540;NT
Santa Ana;Ipiranga;Av. Pref. Severino Bezerra Cabral, 950.;Catolé;5,799;5,899;4,999;4,499;4,599;NT
Santa Terezinha;Ipiranga;Av. Pref. Severino Bezerra Cabral, s/n, BR - 230.;Vila Cabral;5,750;5,890;4,950;4,450;4,550;NT
Santo Antônio;Branca;Rua Tavares Cavalcante, 655.;Centro;5,570;NT;4,980;NT;4,560;NT
Santo Antônio;Branca;Rodovia BR 230.;Três irmãs;5,690;5,790;4,990;4,490;4,590;NT
São José;BR;Rua João Quirino, 895.;Catolé;5,899;NT;5,099;NT;4,799;NT
São José;BR;Rua Francisco Lopes, 1665.;Três irmãs;5,899;5,999;5,099;4,599;4,699;NT
São Luiz;Shell;Av. Manoel Tavares, 710.;Alto Branco;5,799;5,949;4,999;NT;4,699;NT
São Luiz I;Ipiranga;Rua Almeida Barreto, 1950.;Centenário;5,799;5,899;4,999;NT;4,599;4,649
São Luiz II ;Ipiranga;R. Raimundo Alves da Silva, 378 ;Centro;5,799;5,890;4,990;NT;4,690;NT
São Luiz III;Ipiranga;Rua Consul Joseph Noujain Habbi, 1001.;Catolé;5,799;5,999;4,990;NT;4,699;NT
São Luiz V;Shell;Rua Inácio Pedro Diniz, 115.;Catolé ;5,799;5,999;4,999;NT;4,699;NT
São Marcos;Ipiranga;Av. Assis Chateaubriand, 878.;Liberdade;5,790;5,890;4,990;4,590;4,690;4,650
São Marcos II;Ipiranga;Rua Santa Catarina, 1352.;Jardim Paulistano;5,790;5,890;4,890;NT;4,600;NT
São Vicente;Ipiranga;Rua Getúlio Vargas, 684.;Centro;5,799;5,899;4,999;4,550;4,599;NT
Sertões;Ipiranga;Av. Mal. Floriano Peixoto, 2770.;Centenário;5,799;5,899;4,999;4,499;4,599;NT
Shopping;BR;Av. Pref. Severino Bezerra Cabral, 1225.;Mirante;5,799;5,849;5,099;NT;4,799;NT
Sudoeste;Branca;Av. Dep. Raimundo Asfora, 1000.;Velame;5,769;5,869;4,899;4,489;4,599;NT
Unigás;Branca;Rua Joaquim Caroca, 517.;Universitário;5,799;5,849;5,199;NT;4,729;4,649
Universitário;BR;Av. Aprigio Veloso, 334.;Bodocongó;5,799;5,899;4,999;4,499;4,599;NT
Viaduto;Ipiranga;Rua Jiló Guedes, 665.;Santo Antônio;5,799;5,899;4,999;4,499;4,599;NT
Viera;Branca;Rua Benício Fernandes, 211.;São José da mata;5,949;NT;5,349;NT;4,959;NT
